raw_pdf_institution,certificate_institution,institution_cn,record_count,sample_certificate_urls
"Nanjing University of","Nanjing University of Posts and Telecommunications","??????",63,"https://www.comap-math.org/mcm/2026Certs/2601069.pdf https://www.comap-math.org/mcm/2026Certs/2604870.pdf https://www.comap-math.org/mcm/2026Certs/2601046.pdf https://www.comap-math.org/mcm/2026Certs/2604851.pdf https://www.comap-math.org/mcm/2026Certs/2604865.pdf"
"School of Mathematics and Statistics,","School of Mathematics and Statistics, Wuhan University","???????????",13,"https://www.comap-math.org/mcm/2026Certs/2613780.pdf https://www.comap-math.org/mcm/2026Certs/2609658.pdf https://www.comap-math.org/mcm/2026Certs/2615221.pdf https://www.comap-math.org/mcm/2026Certs/2620648.pdf https://www.comap-math.org/mcm/2026Certs/2615315.pdf"
"Science and Technology College of Hubei","Science and Technology College of Hubei University of Arts and Science","??????????",7,"https://www.comap-math.org/mcm/2026Certs/2620715.pdf https://www.comap-math.org/mcm/2026Certs/2620761.pdf https://www.comap-math.org/mcm/2026Certs/2620719.pdf https://www.comap-math.org/mcm/2026Certs/2620724.pdf https://www.comap-math.org/mcm/2026Certs/2620721.pdf"
"Suzhou University of Technology","Suzhou University of Technology","?????",13,"https://www.comap-math.org/mcm/2026Certs/2620890.pdf https://www.comap-math.org/mcm/2026Certs/2604427.pdf https://www.comap-math.org/mcm/2026Certs/2623402.pdf https://www.comap-math.org/mcm/2026Certs/2604442.pdf https://www.comap-math.org/mcm/2026Certs/2631213.pdf"
"Georgia School Ningbo","Georgia School Ningbo","???????????????",7,"https://www.comap-math.org/mcm/2026Certs/2616797.pdf https://www.comap-math.org/mcm/2026Certs/2616796.pdf https://www.comap-math.org/mcm/2026Certs/2612042.pdf https://www.comap-math.org/mcm/2026Certs/2615918.pdf https://www.comap-math.org/mcm/2026Certs/2611610.pdf"
"Chongqing College of International","Chongqing College of International Business and Economics","????????",6,"https://www.comap-math.org/mcm/2026Certs/2608348.pdf https://www.comap-math.org/mcm/2026Certs/2600147.pdf https://www.comap-math.org/mcm/2026Certs/2606746.pdf https://www.comap-math.org/mcm/2026Certs/2607801.pdf https://www.comap-math.org/mcm/2026Certs/2609494.pdf"
"Gandong University","Gandong University","????",6,"https://www.comap-math.org/mcm/2026Certs/2610750.pdf https://www.comap-math.org/mcm/2026Certs/2610761.pdf https://www.comap-math.org/mcm/2026Certs/2610757.pdf https://www.comap-math.org/mcm/2026Certs/2610758.pdf https://www.comap-math.org/mcm/2026Certs/2610759.pdf"
"Hebei University","Hebei University","????",5,"https://www.comap-math.org/mcm/2026Certs/2625801.pdf https://www.comap-math.org/mcm/2026Certs/2632789.pdf https://www.comap-math.org/mcm/2026Certs/2617467.pdf https://www.comap-math.org/mcm/2026Certs/2625823.pdf https://www.comap-math.org/mcm/2026Certs/2622420.pdf"
"Shaoxing Institute of Technology","Shaoxing Institute of Technology","??????",5,"https://www.comap-math.org/mcm/2026Certs/2601514.pdf https://www.comap-math.org/mcm/2026Certs/2601187.pdf https://www.comap-math.org/mcm/2026Certs/2601188.pdf https://www.comap-math.org/mcm/2026Certs/2601513.pdf https://www.comap-math.org/mcm/2026Certs/2601186.pdf"
"Sichuan University of Science & Engineering","Sichuan University of Science & Engineering","???????",0,""
